"sid","trialNum","category","storyidx","nextCategory","nextData","nextDataRel","categoryRepetition","storyRepetition"
9,0,"Mean",20,"Mean","modified","related",TRUE,TRUE
9,1,"Mean",20,"Mean","modified","related",TRUE,TRUE
9,2,"Mean",20,"Mean","modified","related",TRUE,TRUE
9,3,"Mean",20,"Mean","random","unrelated",TRUE,FALSE
9,4,"Mean",17,"Mean","random","unrelated",TRUE,FALSE
9,5,"Mean",9,"Median","identical","related",FALSE,TRUE
9,6,"Median",9,"Median","random","unrelated",TRUE,FALSE
9,7,"Median",28,"Median","random","unrelated",TRUE,FALSE
9,8,"Median",16,"Median","modified","related",TRUE,TRUE
9,9,"Median",16,"Median","random","unrelated",TRUE,FALSE
9,10,"Median",14,"Median","random","unrelated",TRUE,FALSE
9,11,"Median",15,"Mode","identical","related",FALSE,TRUE
9,12,"Mode",15,"Mode","random","unrelated",TRUE,FALSE
9,13,"Mode",12,"Mode","modified","related",TRUE,TRUE
9,14,"Mode",12,"Mode","modified","related",TRUE,TRUE
9,15,"Mode",12,"Mode","modified","related",TRUE,TRUE
9,16,"Mode",12,"Mode","modified","related",TRUE,TRUE
9,17,"Mode",12,NA,NA,NA,NA,NA
15,0,"Mean",16,"Mean","modified","related",TRUE,TRUE
15,1,"Mean",16,"Mean","random","unrelated",TRUE,FALSE
15,2,"Mean",6,"Mean","modified","related",TRUE,TRUE
15,3,"Mean",6,"Mean","modified","related",TRUE,TRUE
15,4,"Mean",6,"Mean","random","unrelated",TRUE,FALSE
15,5,"Mean",9,"Median","identical","related",FALSE,TRUE
15,6,"Median",9,"Median","random","unrelated",TRUE,FALSE
15,7,"Median",32,"Median","random","unrelated",TRUE,FALSE
15,8,"Median",31,"Median","random","unrelated",TRUE,FALSE
15,9,"Median",10,"Median","modified","related",TRUE,TRUE
15,10,"Median",10,"Mode","identical","related",FALSE,TRUE
15,11,"Mode",10,"Mode","random","unrelated",TRUE,FALSE
15,12,"Mode",14,"Mode","modified","related",TRUE,TRUE
15,13,"Mode",14,"Mode","random","unrelated",TRUE,FALSE
15,14,"Mode",30,"Mode","random","unrelated",TRUE,FALSE
15,15,"Mode",13,NA,NA,NA,NA,NA
16,0,"Mean",10,"Mean","modified","related",TRUE,TRUE
16,1,"Mean",10,"Median","identical","related",FALSE,TRUE
16,2,"Median",10,"Median","modified","related",TRUE,TRUE
16,3,"Median",10,"Median","random","unrelated",TRUE,FALSE
16,4,"Median",7,"Median","modified","related",TRUE,TRUE
16,5,"Median",7,"Median","random","unrelated",TRUE,FALSE
16,6,"Median",19,"Mode","identical","related",FALSE,TRUE
16,7,"Mode",19,"Mode","random","unrelated",TRUE,FALSE
16,8,"Mode",23,"Mode","random","unrelated",TRUE,FALSE
16,9,"Mode",12,"Mode","modified","related",TRUE,TRUE
16,10,"Mode",12,"Mode","random","unrelated",TRUE,FALSE
16,11,"Mode",11,"Mean","identical","related",FALSE,TRUE
16,12,"Mean",11,"Mean","random","unrelated",TRUE,FALSE
16,13,"Mean",16,"Mean","random","unrelated",TRUE,FALSE
16,14,"Mean",1,"Mean","random","unrelated",TRUE,FALSE
16,15,"Mean",32,NA,NA,NA,NA,NA
19,0,"Mean",2,"Mean","modified","related",TRUE,TRUE
19,1,"Mean",2,"Mean","random","unrelated",TRUE,FALSE
19,2,"Mean",1,"Mean","random","unrelated",TRUE,FALSE
19,3,"Mean",14,"Mean","random","unrelated",TRUE,FALSE
19,4,"Mean",32,"Mean","random","unrelated",TRUE,FALSE
19,5,"Mean",13,"Median","identical","related",FALSE,TRUE
19,6,"Median",13,"Median","modified","related",TRUE,TRUE
19,7,"Median",13,"Median","random","unrelated",TRUE,FALSE
19,8,"Median",20,"Median","modified","related",TRUE,TRUE
19,9,"Median",20,"Median","modified","related",TRUE,TRUE
19,10,"Median",20,"Mode","identical","related",FALSE,TRUE
19,11,"Mode",20,"Mode","modified","related",TRUE,TRUE
19,12,"Mode",20,"Mode","modified","related",TRUE,TRUE
19,13,"Mode",20,"Mode","modified","related",TRUE,TRUE
19,14,"Mode",20,"Mode","modified","related",TRUE,TRUE
19,15,"Mode",20,NA,NA,NA,NA,NA
43,0,"Mean",32,"Mean","modified","related",TRUE,TRUE
43,1,"Mean",32,"Mean","random","unrelated",TRUE,FALSE
43,2,"Mean",7,"Mean","random","unrelated",TRUE,FALSE
43,3,"Mean",14,"Mean","random","unrelated",TRUE,FALSE
43,4,"Mean",24,"Median","random","unrelated",FALSE,FALSE
43,5,"Median",1,"Median","random","unrelated",TRUE,FALSE
43,6,"Median",11,"Median","random","unrelated",TRUE,FALSE
43,7,"Median",25,"Median","modified","related",TRUE,TRUE
43,8,"Median",25,"Median","modified","related",TRUE,TRUE
43,9,"Median",25,"Mode","identical","related",FALSE,TRUE
43,10,"Mode",25,"Mode","modified","related",TRUE,TRUE
43,11,"Mode",25,"Mode","modified","related",TRUE,TRUE
43,12,"Mode",25,"Mode","modified","related",TRUE,TRUE
43,13,"Mode",25,"Mode","modified","related",TRUE,TRUE
43,14,"Mode",25,NA,NA,NA,NA,NA
53,0,"Mean",25,"Mean","modified","related",TRUE,TRUE
53,1,"Mean",25,"Mean","random","unrelated",TRUE,FALSE
53,2,"Mean",9,"Median","random","unrelated",FALSE,FALSE
53,3,"Median",14,"Mode","identical","related",FALSE,TRUE
53,4,"Mode",14,"Mode","modified","related",TRUE,TRUE
53,5,"Mode",14,"Mode","random","unrelated",TRUE,FALSE
53,6,"Mode",20,"Mode","modified","related",TRUE,TRUE
53,7,"Mode",20,"Mean","random","unrelated",FALSE,FALSE
53,8,"Mean",3,"Mean","modified","related",TRUE,TRUE
53,9,"Mean",3,"Mean","modified","related",TRUE,TRUE
53,10,"Mean",3,"Median","identical","related",FALSE,TRUE
53,11,"Median",3,"Median","random","unrelated",TRUE,FALSE
53,12,"Median",29,"Median","random","unrelated",TRUE,FALSE
53,13,"Median",6,"Median","modified","related",TRUE,TRUE
53,14,"Median",6,"Median","modified","related",TRUE,TRUE
53,15,"Median",6,"Mode","identical","related",FALSE,TRUE
53,16,"Mode",6,"Mode","random","unrelated",TRUE,FALSE
53,17,"Mode",27,NA,NA,NA,NA,NA
54,0,"Mean",11,"Mean","modified","related",TRUE,TRUE
54,1,"Mean",11,"Mean","random","unrelated",TRUE,FALSE
54,2,"Mean",16,"Mean","random","unrelated",TRUE,FALSE
54,3,"Mean",32,"Median","random","unrelated",FALSE,FALSE
54,4,"Median",4,"Median","random","unrelated",TRUE,FALSE
54,5,"Median",12,"Median","random","unrelated",TRUE,FALSE
54,6,"Median",27,"Median","random","unrelated",TRUE,FALSE
54,7,"Median",7,"Median","modified","related",TRUE,TRUE
54,8,"Median",7,"Median","modified","related",TRUE,TRUE
54,9,"Median",7,"Mode","identical","related",FALSE,TRUE
54,10,"Mode",7,"Mode","modified","related",TRUE,TRUE
54,11,"Mode",7,"Mode","modified","related",TRUE,TRUE
54,12,"Mode",7,"Mode","random","unrelated",TRUE,FALSE
54,13,"Mode",25,"Mode","random","unrelated",TRUE,FALSE
54,14,"Mode",18,"Mode","modified","related",TRUE,TRUE
54,15,"Mode",18,"Mean","identical","related",FALSE,TRUE
54,16,"Mean",18,"Mean","random","unrelated",TRUE,FALSE
54,17,"Mean",26,NA,NA,NA,NA,NA
56,0,"Mean",25,"Mean","modified","related",TRUE,TRUE
56,1,"Mean",25,"Mean","modified","related",TRUE,TRUE
56,2,"Mean",25,"Mean","random","unrelated",TRUE,FALSE
56,3,"Mean",1,"Mean","random","unrelated",TRUE,FALSE
56,4,"Mean",26,"Mean","random","unrelated",TRUE,FALSE
56,5,"Mean",28,"Median","identical","related",FALSE,TRUE
56,6,"Median",28,"Median","modified","related",TRUE,TRUE
56,7,"Median",28,"Median","modified","related",TRUE,TRUE
56,8,"Median",28,"Median","random","unrelated",TRUE,FALSE
56,9,"Median",7,"Median","random","unrelated",TRUE,FALSE
56,10,"Median",18,"Mode","identical","related",FALSE,TRUE
56,11,"Mode",18,"Mode","random","unrelated",TRUE,FALSE
56,12,"Mode",27,"Mode","modified","related",TRUE,TRUE
56,13,"Mode",27,"Mode","modified","related",TRUE,TRUE
56,14,"Mode",27,"Mode","modified","related",TRUE,TRUE
56,15,"Mode",27,NA,NA,NA,NA,NA
60,0,"Mean",8,"Mean","modified","related",TRUE,TRUE
60,1,"Mean",8,"Mean","modified","related",TRUE,TRUE
60,2,"Mean",8,"Mean","modified","related",TRUE,TRUE
60,3,"Mean",8,"Mean","modified","related",TRUE,TRUE
60,4,"Mean",8,"Median","identical","related",FALSE,TRUE
60,5,"Median",8,"Median","modified","related",TRUE,TRUE
60,6,"Median",8,"Median","random","unrelated",TRUE,FALSE
60,7,"Median",18,"Median","random","unrelated",TRUE,FALSE
60,8,"Median",7,"Median","modified","related",TRUE,TRUE
60,9,"Median",7,"Mode","identical","related",FALSE,TRUE
60,10,"Mode",7,"Mode","modified","related",TRUE,TRUE
60,11,"Mode",7,"Mode","random","unrelated",TRUE,FALSE
60,12,"Mode",32,"Mode","random","unrelated",TRUE,FALSE
60,13,"Mode",25,"Mode","modified","related",TRUE,TRUE
60,14,"Mode",25,"Mode","random","unrelated",TRUE,FALSE
60,15,"Mode",23,NA,NA,NA,NA,NA
68,0,"Mean",30,"Mean","random","unrelated",TRUE,FALSE
68,1,"Mean",5,"Mean","modified","related",TRUE,TRUE
68,2,"Mean",5,"Mean","random","unrelated",TRUE,FALSE
68,3,"Mean",28,"Mean","modified","related",TRUE,TRUE
